class,enrolled,state,country,ethnicity,sex,act,reading,math,writing
2017,0,AZ,United States,Asian American,M,,770,790,770
2019,0,AZ,United States,Asian American,F,35,730,770,760
2019,0,AZ,United States,Asian American,M,,800,720,800
2019,0,BC,Canada,Asian American,F,,800,750,750
2013,1,CA,United States,Asian American,F,,790,800,800
2013,1,CA,United States,Asian American,M,,760,780,790
2013,1,CA,United States,Asian American,M,,790,800,710
2013,1,CA,United States,Asian American,F,,650,590,670
2014,1,CA,United States,Asian American,F,,790,780,720
2014,1,CA,United States,Asian American,F,35,750,800,700
2014,1,CA,United States,Asian American,F,,760,750,720
2014,1,CA,United States,Asian American,M,,700,800,770
2015,1,CA,United States,Asian American,M,,800,740,800
2015,1,CA,United States,Asian American,F,,790,760,800
2016,1,CA,United States,Asian American,M,,760,800,710
2016,1,CA,United States,Asian American,F,,770,800,800
2016,1,CA,United States,Asian American,F,,770,770,730
2016,1,CA,United States,Asian American,F,,800,740,750
2016,1,CA,United States,Asian American,M,,690,650,740
2016,1,CA,United States,Asian American,F,,800,780,800
2016,1,CA,United States,Asian American,M,,800,780,770
2016,1,CA,United States,Asian American,F,,780,770,750
2016,1,CA,United States,Asian American,M,,790,800,790
2016,1,CA,United States,Asian American,F,,780,800,800
2017,1,CA,United States,Asian American,M,,800,740,750
2017,1,CA,United States,Asian American,F,,790,780,770
2017,1,CA,United States,Asian American,M,,710,800,800
2017,1,CA,United States,Asian American,F,,760,800,780
2017,1,CA,United States,Asian American,F,,730,790,750
2017,1,CA,United States,Asian American,F,,750,800,750
2017,1,CA,United States,Asian American,F,,800,760,780
2017,1,CA,United States,Asian American,F,,760,800,720
2017,1,CA,United States,Asian American,F,,760,750,800
2017,1,CA,United States,Asian American,F,,760,760,790
2017,1,CA,United States,Asian American,F,,740,770,800
2017,1,CA,United States,Asian American,M,35,,,
2017,1,CA,United States,Asian American,F,,750,700,780
2017,1,CA,United States,Asian American,M,32,680,780,740
2019,1,CA,United States,Asian American,F,35,,,
2019,1,CA,United States,Asian American,F,,800,740,790
2019,1,CA,United States,Asian American,M,,740,800,760
2019,1,CA,United States,Asian American,F,35,,,
2019,1,CA,United States,Asian American,F,,760,800,780
2019,1,CA,United States,Asian American,F,35,,,
2019,1,CA,United States,Asian American,M,,780,750,760
2019,1,CA,United States,Asian American,F,,800,730,800
2019,1,CA,United States,Asian American,M,31,660,680,600
2019,1,CA,United States,Asian American,F,32,740,780,760
2019,1,CA,United States,Asian American,M,33,,,
2020,1,CA,United States,Asian American,F,,720,740,760
2020,1,CA,United States,Asian American,M,,750,800,780
2020,1,CA,United States,Asian American,M,,750,650,730
2020,1,CA,United States,Asian American,F,34,710,800,740
2020,1,CA,United States,Asian American,F,,740,750,800
2020,1,CA,United States,Asian American,M,35,,,
2020,1,CA,United States,Asian American,M,34,,,
2020,1,CA,United States,Asian American,M,34,620,780,680
2020,1,CA,United States,Asian American,F,32,,,
2020,1,CA,United States,Asian American,M,,740,800,770
2020,1,CA,United States,Asian American,F,,720,720,760
2020,1,CA,United States,Asian American,F,,710,770,780
2011,0,CA,United States,Asian American,F,,800,780,750
2011,0,CA,United States,Asian American,M,,740,800,710
2011,0,CA,United States,Asian American,F,,770,800,740
2011,0,CA,United States,Asian American,M,,770,760,730
2013,0,CA,United States,Asian American,F,,710,740,760
2013,0,CA,United States,Asian American,M,30,580,670,650
2013,0,CA,United States,Asian American,M,,760,800,760
2013,0,CA,United States,Asian American,M,,780,800,800
2013,0,CA,United States,Asian American,F,34,,,
2014,0,CA,United States,Asian American,F,,800,780,800
2014,0,CA,United States,Asian American,F,,800,800,780
2014,0,CA,United States,Asian American,M,,800,760,800
2014,0,CA,United States,Asian American,F,,720,800,710
2014,0,CA,United States,Asian American,F,35,730,770,790
2015,0,CA,United States,Asian American,F,,800,770,800
2015,0,CA,United States,Asian American,M,,800,800,770
2015,0,CA,United States,Asian American,M,35,,,
2015,0,CA,United States,Asian American,F,,770,730,800
2015,0,CA,United States,Asian American,F,,740,740,800
2015,0,CA,United States,Asian American,M,,740,790,800
2015,0,CA,United States,Asian American,F,,760,720,780
2015,0,CA,United States,Asian American,M,,720,800,730
2016,0,CA,United States,Asian American,F,,800,780,790
2016,0,CA,United States,Asian American,M,36,800,800,760
2016,0,CA,United States,Asian American,F,36,,,
2017,0,CA,United States,Asian American,F,35,750,780,800
2017,0,CA,United States,Asian American,M,,790,800,710
2017,0,CA,United States,Asian American,F,,800,720,740
2017,0,CA,United States,Asian American,M,,800,750,720
2017,0,CA,United States,Asian American,F,,730,770,800
2017,0,CA,United States,Asian American,F,36,770,800,800
2017,0,CA,United States,Asian American,F,,780,750,780
2017,0,CA,United States,Asian American,M,,770,770,800
2017,0,CA,United States,Asian American,M,35,700,800,720
2017,0,CA,United States,Asian American,M,,800,800,720
2017,0,CA,United States,Asian American,M,35,,,
2017,0,CA,United States,Asian American,F,,800,800,800
2017,0,CA,United States,Asian American,F,,780,770,770
2017,0,CA,United States,Asian American,F,,790,800,800
2017,0,CA,United States,Asian American,M,,710,800,760
2017,0,CA,United States,Asian American,F,,710,770,780
2019,0,CA,United States,Asian American,F,,740,800,800
2019,0,CA,United States,Asian American,M,,800,800,720
2019,0,CA,United States,Asian American,F,33,750,800,710
2019,0,CA,United States,Asian American,M,36,,,
2019,0,CA,United States,Asian American,F,,660,770,720
2019,0,CA,United States,Asian American,M,34,780,750,790
2019,0,CA,United States,Asian American,F,34,,,
2019,0,CA,United States,Asian American,M,,800,790,800
2019,0,CA,United States,Asian American,M,,730,770,800
2019,0,CA,United States,Asian American,F,,800,770,800
2019,0,CA,United States,Asian American,M,,800,800,800
2019,0,CA,United States,Asian American,F,,760,770,730
2019,0,CA,United States,Asian American,F,,800,780,800
2019,0,CA,United States,Asian American,F,34,680,620,650
