***Daniel P. Aalberts #  Professor of Physics # B.S. (1989) Massachusetts Institute of Technology; Ph.D. (1994) Massachusetts Inst of Technology
Tomas F. Adalsteinsson #  Assistant Professor of Physical Education and Head Women's Golf Coach #
*Colin C. Adams #  Thomas T. Read Professor of Mathematics # B.S. (1978) Massachusetts Institute of Technology; Ph.D. (1983) University of Wisconsin Madison
Zaid R. Adhami #  Visiting Lecturer in Religion # B.A. (2010) Stanford University; M.A. (2010) Stanford University
Jeannie R Albrecht #  Associate Professor of Computer Science # B.S. (2001) Gettysburg College; M.S. (2003) Duke University; Ph.D. (2007) University of California San Diego
Laylah Ali #  Professor of Art # B.A. (1991) Williams College; M.F.A. (1994) Washington University
Baktygul A. Aliev #  Assistant Professor of Russian # B.A. (2000) American University of Central Asia; M.A. (2007) McGill University; Ph.D. (2014) McGill University
Kristopher D. Allen #  Lyell B. Clay Artist in Residence in Jazz Activities/Lecturer in Music Director of the Jazz Ensemble # B.M. (1998) University of Hartford; M.M. (2004) State University of New York Purchase
+Sarah M. Allen #  Visiting Associate Professor of Comparative Literature # A.B. (1992) Harvard University; M.A. (1996) University of Michigan; Ph.D. (2003) Harvard University
++Natalia Almada #  W. Ford Schumann Visiting Professor in Democratic Studies #
++Sarah K. Amos #  Visiting Lecturer in Art # B.F.A. (1987) Phillip Institute; M.F.A. (1998) Johnson State College
Nasia Anam #  Visiting Assistant Professor of English # B.A. (2004) University of Chicago; M.A. (2007) University of Michigan Ann Arbor; Ph.D. (2016) University of California Louisiana
Alex A. Apotsos #  Lecturer in Geosciences # B.S. (1999) Duke University; Ph.D. (2007) Massachusetts Inst of Technology
Michelle M. Apotsos #  Assistant Professor of Art # B.A. (1999) University of North Carolina Chapel Hill; M.A. (2006) Tufts University; Ph.D. (2013) Stanford University
Kevin M. App #  Assistant Professor of Physical Education and Head Men's Basketball Coach # B.S. (2007) Cornell University
***Henry W. Art #  Rosenburg Professor of Environmental Studies and Biology # B.A. (1966) Dartmouth College; M.Phil. (1969) Yale University; Ph.D. (1971) Yale University
***Quamrul H. Ashraf #  Associate Professor of Economics # B.A. (1999) Trinity College; M.A. (2004) Brown University; Ph.D. (2009) Brown University
