NGUYEN	297,503	1	95.9%	57	310,125
LEE	229,197	2	37.8%	22	605,860
KIM	183,432	3	94.5%	109	194,067
PATEL	132,547	4	91.4%	172	145,066
TRAN	130,120	5	95.6%	188	136,095
CHEN	100,742	6	95.5%	260	105,544
WONG	87,962	7	88.5%	277	99,392
LE	73,697	8	95.2%	368	77,453
YANG	69,017	9	95.0%	397	72627
WANG	63,833	10	94.5%	438	67,570
CHANG	62,871	11	90.1%	424	69,756
CHAN	59,811	12	91.0%	459	65,719
PHAM	57,467	13	95.9%	498	59949
LI	55,729	14	96.4%	519	57786
PARK	54,293	15	66.3%	343	81,890
SINGH	54,075	16	74.4%	396	72,642
LIN	46,956	17	95.1%	624	49,360
LIU	45,501	18	95.5%	650	47665
WU	43,955	19	95.9%	683	45815
HUANG	43,298	20	96.8%	697	44715
LAM	38,824	21	87.5%	706	44,385
HUYNH	38,479	22	96.2%	790	40011
HO	37,616	23	93.1%	778	40,413
CHOI	35,102	24	96.5%	872	36390
YU	34,913	25	96.2%	874	36285
SHAH	33,217	26	87.8%	831	37,833
CHUNG	33,151	27	91.0%	870	36422
KHAN	32,933	28	70.5%	665	46,713
ZHANG	32,591	29	98.2%	963	33202
VANG	30,037	30	92.9%	982	32333
TRUONG	26,829	31	96.5%	1157	27808
NG	25,879	32	94.0%	1168	27537
PHAN	25,501	33	94.8%	1193	26903
LIM	25,104	34	91.5%	1170	27433
XIONG	24,940	35	94.7%	1219	26336
VU	24,854	36	96.2%	1247	25828
CHENG	24,743	37	95.1%	1238	26023
CHO	24,184	38	95.6%	1277	25305
VO	23,748	39	95.2%	1296	24956
TANG	23,675	40	93.0%	1269	25446
NGO	22,982	41	95.8%	1355	23980
CHU	22,765	42	93.4%	1328	24381
LU	21,996	43	95.7%	1424	22977
KANG	21,786	44	92.5%	1380	23565
LY	21,730	45	94.5%	1421	22990
HONG	21,147	46	88.1%	1352	24,017
DANG	20,660	47	94.1%	1490	21953
HOANG	20,374	48	95.8%	1546	21269
DO	20,139	49	94.9%	1551	21230
CHIN	20,012	50	77.9%	1255	25,673
TAN	19,691	51	91.3%	1530	21567
LAU	19,618	52	76.6%	1259	25,624
BUI	19,557	53	93.8%	1579	20852
KAUR	19,496	54	89.3%	1501	21825
HAN	18,406	55	90.6%	1617	20,318
MA	17,888	56	94.0%	1726	19030
DUONG	17,664	57	96.0%	1790	18404
LEUNG	17,215	58	94.9%	1815	18140
YEE	16,849	59	86.5%	1687	19,483
SONG	16,033	60	95.1%	1962	16856
CHEUNG	15,413	61	95.9%	2069	16067
ALI	15,117	62	41.9%	876	36,079
SHIN	15,028	63	94.8%	2099	15857
AHMED	14,977	64	56.3%	1206	26,607
YI	14,494	65	95.0%	2189	15254
THAO	14,483	66	93.7%	2153	15463
LAI	14,283	67	92.2%	2148	15490
HSU	14,150	68	95.4%	2254	14838
FONG	14,090	69	84.8%	2002	16614
REYES	13,997	70	6.0%	81	232,511
SUN	13,983	71	93.5%	2228	14962
CHOW	13,924	72	89.0%	2124	15650
YOUNG	13,745	73	2.9%	31	465,948
LIANG	13,581	74	96.4%	2353	14095
LO	13,361	75	91.9%	2292	14534
HWANG	13,151	76	96.6%	2435	13610
SANTOS	13,077	77	13.2%	279	98,993
CRUZ	12,963	78	5.6%	82	231,065
OH	12,789	79	95.7%	2477	13366
SHARMA	12,736	80	85.6%	2247	14870
CHAU	12,460	81	94.1%	2498	13238
GARCIA	12,274	82	1.4%	8	858,289
HA	12,189	83	93.8%	2558	12988
KUMAR	12,170	84	83.8%	2293	14517
XU	12,041	85	98.5%	2701	12228
DESAI	11,976	86	91.7%	2540	13057
THOMAS	11,584	87	1.6%	14	710,696
HU	11,515	88	95.5%	2747	12056
LUU	11,459	89	95.8%	2768	11965
ZHOU	11,350	90	98.0%	2839	11586
DINH	11,308	91	95.5%	2792	11836
YOON	11,045	92	95.5%	2848	11563
TRINH	11,004	93	95.6%	2868	11507
TAM	10,985	94	90.4%	2723	12150
LUONG	10,771	95	96.0%	2951	11214
CHONG	10,740	96	82.8%	2561	12976
CHIU	10,522	97	92.9%	2920	11321
ZHENG	10,495	98	98.4%	3111	10670
CAO	10,410	99	93.7%	2986	11106
ZHU	10,286	100	97.9%	3147	10508
WOO	10,271	101	88.3%	2824	11628
ZHAO	10,157	102	98.4%	3187	10324
JUNG	9,941	103	57.1%	1896	17,395
MAI	9,855	104	81.9%	2752	12,027
KO	9,806	105	93.5%	3152	10483
RAMOS	9,732	106	5.0%	112	193,096
CHUN	9,627	107	86.3%	2967	11154
HER	9,550	108	91.5%	3159	10434
SMITH	9,505	109	0.4%	1	2,376,206
KONG	9,407	110	85.2%	3005	11040
GUPTA	9,375	111	90.4%	3172	10376
YOO	9,350	112	94.9%	3330	9853
DOAN	9,322	113	58.6%	2094	15,902
MOUA	9,122	114	93.3%	3347	9776
KWON	9,064	115	96.4%	3472	9405
PAK	9,037	116	91.5%	3322	9877
DELACRUZ	8,966	117	18.2%	629	49,158
TSAI	8,874	118	95.1%	3503	9332
MEHTA	8,776	119	90.6%	3377	9691
MENDOZA	8,765	120	5.2%	134	168,567
TONG	8,589	121	79.5%	3074	10,809
JIANG	8,388	122	97.7%	3791	8582
BAUTISTA	8,341	123	22.0%	830	37,847
SHEN	8,238	124	93.3%	3690	8832
VUE	8,010	125	93.9%	3822	8528
SU	7,999	126	94.0%	3835	8507
THAI	7,990	127	94.7%	3864	8440
ENG	7,906	128	78.3%	3246	10,102
JOHNSON	7,800	129	0.4%	2	1,857,160
DAO	7,605	130	93.2%	3994	8163
CHOU	7,485	131	94.9%	4163	7885
HUSSAIN	7,482	132	67.6%	2996	11,070
PAN	7,476	133	91.8%	4004	8143
AHN	7,451	134	91.6%	4010	8130
CHAO	7,444	135	86.2%	3769	8633
KWAN	7,404	136	93.7%	4147	7906
QUACH	7,359	137	96.5%	4305	7624
LOR	7,328	138	90.9%	4053	8061
RAHMAN	7,313	139	68.2%	3102	10,719
FERNANDEZ	7,202	140	5.2%	178	139,302
CHA	7,174	141	93.2%	4258	7698
YAN	7,145	142	89.1%	4091	8016
VUONG	6,883	143	96.3%	4556	7148
CHIANG	6,851	144	94.0%	4479	7290
LEONG	6,818	145	85.6%	4119	7967
HE	6,737	146	95.5%	4600	7057
FLORES	6,721	147	2.1%	55	312,615
FUNG	6,672	148	88.7%	4367	7518
DONG	6,628	149	90.5%	4458	7327
NAKAMURA	6,613	150	84.6%	4203	7821
TO	6,593	151	94.5%	4649	6979
CHOE	6,591	152	95.2%	4682	6926
ONG	6,571	153	86.8%	4343	7572
